"An Lushan","安祿山"
"Li Zonghui","李宗暉"
"Li Zongmin","李宗閔"
"Liang Chongyi","梁崇義"
"Liang Li","梁禮"
"Liang Su","梁肅"
"Lifei Yuanli","荔非元禮"
"Lin Gao","藺杲"
"Linghu Defen","令狐德棻"
"Linghu Huan","令狐峘"
"Linghu Jian","令狐建"
"Linghu Pi","令狐濞"
"Linghu Tong","令狐通"
"Linghu Yun","令狐運"
"Linghu Zhang","令狐彰"
"Liu Bi","柳璧"
"Liu Bochu","劉伯芻"
"Liu Can","柳璨"
"Liu Chang","劉昌"
"Liu Changqing","劉長卿"
"Liu Changyi","劉昌裔"
"Liu Cheng","柳澄"
"Liu Chongli","柳崇禮"
"Liu Congjian","劉從諫"
"Liu Congyi(3)","劉從一"
"Liu Deng","柳登"
"Liu Dewei","劉德威"
"Liu Duanfu","劉端夫"
"Liu Fen","劉蕡"
"Liu Gongchuo","柳公綽"
"Liu Gongdu","柳公度"
"Liu Gongquan","柳公權"
"Liu Hongji","劉弘基"
"Liu Huanjun","劉環雋"
"Liu Hui","劉彙"
"Liu Hun","柳渾"
"Liu Ji","劉洎"
"Liu Ji","劉濟"
"Liu Jing","柳璟"
"Liu Jiong","劉迥"
"Liu Jizhen","劉季真"
"Liu Kuanfu","劉寬夫"
"Liu Kuang","劉貺"
"Liu Lan","劉蘭"
"Liu Linfu","劉林甫"
"Liu Lingzhi","劉令植"
"Liu Mian","柳冕"
"Liu Mian","劉沔"
"Liu Nai","劉迺"
"Liu Neyan","劉訥言"
"Liu Peng","劉怦"
"Liu Pi","劉闢"
"Liu Pi","柳玭"
"Liu Qia","劉洽"
"Liu Qichu","劉栖楚"
"Liu Qingxiu","柳慶休"
"Liu Qixian","劉齊賢"
"Liu Quanliang","劉全諒"
"Liu Rengui","劉仁軌"
"Liu Ruzhi","劉孺之"
"Liu Shi","柳識"
"Liu Shi(3)","柳奭"
"Liu Shigan","劉士幹"
"Liu Shijing","劉士涇"
"Liu Shili","劉師立"
"Liu Shilong","劉世龍"
"Liu Shining","劉士寧"
"Liu Shirang","劉世讓"
"Liu Su","劉餗"
"Liu Tan","柳惔"
"Liu Tan","柳潭"
"Liu Wenjing","劉文靜"
"Liu Wu","劉悟"
"Liu Xiangdao","劉祥道"
"Liu Xixian","劉希暹"
"Liu Xuanzuo","劉玄佐"
"Liu Xun","劉迅"
"Liu Yan","劉晏"
"Liu Ye","劉鄴"
"Liu Yi","劉义"
"Liu Yizhi","劉禕之"
"Liu Yong","劉澭"
"Liu Youqiu","劉幽求"
"Liu Yunzhang","劉允章"
"Liu Yuxi","劉禹錫"
"Liu Zhan","劉瞻"
"Liu Zhan","劉展"
"Liu Zhen","劉稹"
"Liu Zhenghui","劉政會"
"Liu Zhi","劉秩"
"Liu Zhiji","劉知幾"
"Liu Zhijing","劉執經"
"Liu Zhirou","劉知柔"
"Liu Zhongying","柳仲郢"
"Liu Zhuan","劉瑑"
"Liu Zi(2)","劉滋"
"Liu Zihua","柳子華"
"Liu Ziyi","劉子翼"
"Liu Ziyi","劉子翊"
"Liu Zong","劉總"
"Liu Zongjing","劉宗經"
"Liu Zongyuan","柳宗元"
"Lou Shide","婁師德"
"Lu Cangyong","盧藏用"
"Lu Changyuan","陸長源"
"Lu Congdian","陸從典"
"Lu Congyuan","盧從愿"
"Lu Gen","陸亘"
"Lu Guangqi","盧光啟"
"Lu Gui","魯炅"
"Lu Han","盧翰"
"Lu Hongzheng","盧弘正"
"Lu Huaishen","盧懷慎"
"Lu Huan","盧奐"
"Lu Jianci","盧簡辭"
"Lu Jianfang","盧簡方"
"Lu Jianneng","盧簡能"
"Lu Jianqiu","盧簡求"
"Lu Jingqian(2)","陸景倩"
"Lu Jingrong","陸景融"
"Lu Jun","盧鈞"
"Lu Mi","路泌"
"Lu Qi","盧杞"
"Lu Qun","路群"
"Lu Qun","盧羣"
"Lu Rubi","盧汝弼"
"Lu Ruoxu","盧若虛"
"Lu Shimei","盧士玫"
"Lu Shizhan","盧士瞻"
"Lu Shu","路恕"
"Lu Sidao","盧思道"
"Lu Sigong","路嗣恭"
"Lu Siye","盧嗣業"
"Lu Sui","路隨"
"Lu Tan","盧坦"
"Lu Tong","盧仝"
"Lu Xiangxian","陸象先"
"Lu Xie","盧攜"
"Lu Xisheng","陸希聲"
"Lu Yan","路巖"
"Lu Yi","陸扆"
"Lu Yuanfang","陸元方"
"Lu Yuqing","陸餘慶"
"Lu Zao","陸璪"
"Lu Zheng","盧徵"
"Lu Zhi","陸贄"
"Lu Zhiyou","盧知猷"
"Lu Zong","盧樅"
"Lu Zushang","盧祖尚"
"Luo Binwang","駱賓王"
"Luo Liyan","羅立言"
"Luo Shixin","羅士信"
"Luo Yi","羅藝"
"Lv Chongben","呂崇賁"
"Lv Chongmao","呂崇茂"
"Lv Min","呂珉"
"Lv Taiyi","呂太一"
"Lv Wei","呂渭"
"Lv Yin","呂諲"
"Lv Yuanying","呂元膺"
"Ma Huaisu","馬懷素"
"Ma Lin","馬璘"
"Ma Sui(2)","馬燧"
"Ma Zhi","馬植"
"Ma Zong","馬摠"
"Ma Zong","馬總"
"Meng Jian","孟簡"
"Meng Jiao","孟郊"
"Meng She","孟涉"
"Meng Yao","孟瑤"
"Meng Yuanyang","孟元陽"
"Miao Jinqing","苗晉卿"
"Mu Ning","穆寧"
"Mu Shang","穆賞"
"Mu Yuan","穆員"
"Mu Zan","穆贊"
"Mu Zhi","穆質"
"Neng Yuanhao","能元皓"
"Ni Ruoshui","倪若水"
"Niu Cong","牛叢"
"Niu Hong","牛弘"
"Niu Hui(2)","牛徽"
"Niu Mingjun","牛名俊"
"Niu Sengru","牛僧孺"
"Niu Wei","牛蔚"
"Niu Xianke","牛仙客"
"Niu Xiu","牛秀"
"Niu Yuanyi","牛元翼"
"Pan Haoli","潘好禮"
"Pan Mengyang","潘孟陽"
"Pang Yan","龐嚴"
"Pang Yu","龐玉"
"Pei Bin","裴玢"
"Pei Chengguang","裴承光"
"Pei Cui","裴漼"
"Pei Du","裴度"
"Pei Hui(3)","裴徽"
"Pei Ji","裴垍"
"Pei Ji","裴勣"
"Pei Ji(4)","裴寂"
"Pei Ji(5)","裴佶"
"Pei Ju","裴矩"
"Pei Judao","裴居道"
"Pei Kuan","裴寬"
"Pei Lin","裴潾"
"Pei Mian","裴冕"
"Pei Nezhi","裴訥之"
"Pei Renji","裴仁基"
"Pei Rong","裴茙"
"Pei Shen","裴諗"
"Pei Shi","裴識"
"Pei Shouzhen","裴守真"
"Pei Shu","裴樞"
"Pei Tan","裴談"
"Pei Tan","裴坦"
"Pei Tian","裴腆"
"Pei Xiang","裴向"
"Pei Xingfang","裴行方"
"Pei Xingjian","裴行儉"
"Pei Xingli","裴行立"
"Pei Xingyan","裴行儼"
"Pei Xiu","裴休"
"Pei Xu","裴諝"
"Pei Xuangui","裴玄珪"
"Pei Xuanji","裴宣機"
"Pei Yan","裴炎"
"Pei Yanling","裴延齡"
"Pei Yanxian","裴彥先"
"Pei Yaoqing","裴耀卿"
"Pei Ye(2)","裴液"
"Pei Zhou","裴冑"
"Pei Zhouxian","裴伷先"
